Aizoon sarmentosum
Galenia pubescens
Pharnaceum elongatum
Tetragonia fruticosa
Rhus crenata
Rhus glauca
Rhus laevigata
Rhus lucida
Aponogeton angustifolius
Zantedeschia aethiopica
Cynanchum africanum
Asparagus aethiopicus
Asparagus capensis
Asparagus exuvialis
Asparagus rubicundus
Myrsiphyllum asparagoides
Bulbine sp
Trachyandra hispida
Trachyandra revoluta
Cotula myriophylloides
Ammellus asteroides
Arctotheca calendula
Athanasia dentata
Athanasia trifurcata
Cenia turbinata
Chrysanthemoides incana
Chrysanthemoides monilifera
Cotula coronopifolia
Cotula filifolia
Cotula vulgaris
Cullumia sp
Dimorphotheca pluvialis
Elytropappus rhinocerotis
Eriocephalus africanus
Felicia filifolia
Felicia tenella
Helichrysum cymosum
Helichrysum moeserianum
Helichrysum patulum
Helichrysum tenella
Metalasia muricata
Plecostachys serpyllifolia
Senecio burchellii
Senecio elegans
Senecio halimifolius
Stoebe capitata
Stoebe fusca
Stoebe plumosum
Ursinia anthemoides spp
Lobelia coronopifolia
Lobelia erinus
Lobelia setacea
Lobostemon fruticosus
Monopsis lutea
Wahlenbergia capensis
Putterlickia pyracantha
Exomis microphylla
Salicornia meyeriana
Sarcocornia natalensis
Sarcocornia perennis
Androcymbium eucomoides
Baeometra uniflora
Ornithoglossum viride
Wurmbea sp
Crassula brachyphylla
Crassula ciliare
Crassula glomerata
Cladium mariscus
Cyperus sp
Ficinia dunensis
Ficinia lateralis
Ficinia sp
Schoenoplectes litoralis
Drosera trinervia
Erica ferrea
Otholobium fruticans
Aspalathus hispida
Aspalathus ternata
Indigofera sp
Lebeckia sp
Nylandtia spinosa
Acrolophia bolusii
Agathosma apiculata
Anthospermum aethiopicum
Chondropetalum microcarpum im
Clifforta ericifolia
Cliffortia falcata_im
Cliffortia juniperina
Cyanella hyacinthoides
Diastella proteoides
Dischisma arenarium
Elegia chondropetalum nuda
Elegia chondropetalum recta
Elegia chondropetalum tectorum
Elegia filacea
Gnidia subulata
Hermannia alnifolia
Hermannia pinnata
Hermannia procumbens
Ischyrolepis eleocharis
Leucadendron levisanus
Leucadendron salignum
Lycium afrum
Manulea tomentosa
Muraltia satureioides
Nemesia sp
Passerina vulgaris
Phylica cephalantha
Phylica ericoides
Phylica stokoei
Potamogeton pectinatus
Protea scolymocephala
Restio triticeus
Riella purpureospora
Ruppia maritima
Selago sp
Serruria aemula
Serruria fasciflora
Serruria trilopha
ssp procumbens
Struthiola dodecandra
Struthiola striata
Thamnochortus erectus
Thamnochortus insignis
Thamnochortus punctatus
Typha capensis
Zaluzianskya divaricata
Zaluzianskya villosa
Zygophyllum flexuosum
Albuca flaccida
Albuca spiralis
Aristea africana
Babiana angustifolia
Bolboschoenus maritimus
Carpanthea pomeridiana
Carpobrotis edulis
Carpobrotis sauerae
Cissampelos capensis
Conicosia pugioniformis
crystallinum
Cysticapnos vesicaria
Dorotheanthus bellidiformis
Drosanthemum anomalum
Erepsia dunensis
Ferraria divaricata
forma alba
Frankenia sp
Geissorhiza aspera
Geranium incanum
Gladiolus cunonius
Gladiolus gracilis
Holothrix villosa
Ixia dubia
Juncus bufonius
Juncus kraussii
Lachenalia contaminata
Lachenalia rubida
Lampranthus amoenus
Lampranthus bicolor
Lampranthus calcaratus
Lampranthus explanatus
Lampranthus glaucus
Lampranthus reptans
Lampranthus stenopetalus
Lampranthus stenus
Lampranthus tenuifolius
Lapeirousia anceps
Mesembryanthemum
Micranthus tubulosus
Monadenia bracteata
Moraea fugax
Moraea minor
Nymphaea capensis
Ornithogalum thyrsoides
Orphium frutescens
Otholobium hirtum
Oxalis hirta
Pelargonium betulinum
Pelargonium capitatum
Pelargonium myrrhifolium
Pelargonium triste
Psoralea sp
Pterygodium catholicum
Romulea flava
Romulea roseus
Ruschia macowanii
Ruschia pulchella
Salvia africana lutea
Salvia lanceolata
Satyrium coriifolium
Satyrium odorum
Scirpus nodosus
Sebaea exacoides
Sparaxis bulbifera
Sphalmanthus canaliculatus
Spiloxene aquatica
Spiloxene capensis
Sutherlandia frutescens
Triglochin bulbosa
Wachendorfia brachyandra
Wachendorfia paniculata
Wachendorfia parviflora
Watsonia coccinea
